specimen_id,e-type,m-type,me-type,upright_angle,soma_distance_from_pia,estimated_shrinkage_factor,estimated_slice_angle
476198393,Exc_3,,,,,,
476216637,Exc_3,Spiny_7,ME_Exc_14,218.611894,350.6122807,2.698098226,14.62492035
476218657,Exc_3,Spiny_8,ME_Exc_13,220.3952896,431.9885909,3.873699682,14.46468749
476263004,Exc_3,Spiny_10,ME_Exc_2,214.1877132,766.1747942,2.28309013,23.25969081
476266853,Exc_3,,,,,,
476269122,Exc_3,,,,,,
476451456,Exc_3,Spiny_4,ME_Exc_17,201.9562854,438.5819911,2.769525152,4.213739177
476452460,Exc_3,,,,,,
476455864,Exc_3,Spiny_3,ME_Exc_15,153.5168196,372.2015678,3.752675247,2.966995173
476457450,Exc_3,Spiny_5,ME_Exc_18,209.131069,428.1795731,4.131422732,21.71079183
476525478,Exc_3,,,,,,
476550499,Exc_2,,,,,,
476557750,Exc_3,,,,,,
476562817,Exc_3,Spiny_3,ME_Exc_17,154.8099082,453.6705307,4.880952381,9.851101187
476615310,Inh_1,,,,,,
476616076,Exc_3,Spiny_3,ME_Exc_17,228.546566,430.0119957,2.54988857,14.44066909
476619123,Exc_3,,,,,,
476686112,Inh_6,Aspiny_1,ME_Inh_25,150.291974,310.8648379,4.467277195,-22.9441256
476741830,Inh_7,,,,,,
476753465,Inh_6,,,,,,
476754635,Inh_6,,,,,,
476823462,Exc_3,Spiny_3,ME_Exc_16,121.8502624,381.4562122,2.235985958,-12.68038349
477127614,Exc_3,Spiny_7,ME_Exc_14,135.6779894,277.1248474,2.182539683,7.821235507
477129850,Exc_1,,,,,,
477135941,Exc_3,Spiny_7,ME_Exc_14,158.664081,423.366129,3.039196133,5.420514543
477278032,Inh_1,,,,,,
477490421,Inh_12,,,,,,
477564985,Exc_3,,,,,,
477862382,Exc_2,,,,,,
477879512,Inh_1,,,,,,
477880128,Inh_7,Aspiny_13,ME_Inh_2,160.5206506,213.1022686,2.668308703,17.17197128
477930684,Exc_3,,,,,,
477991293,Inh_1,,,,,,
478058328,Inh_13,Aspiny_4,ME_Inh_12,133.0541723,845.2462521,2.597402597,-17.48645677
478107198,Inh_1,,,,,,
478110866,Inh_3,Aspiny_16,ME_Inh_3,171.9387426,561.9858098,2.832893291,8.253055235
478111731,Inh_3,,,,,,
478396248,Inh_6,,,,,,
478412623,Inh_6,,,,,,
478439166,Exc_3,,,,,,
478447600,Exc_3,,,,,,
478497530,Exc_3,Spiny_12,ME_Exc_5,215.5195844,551.1464962,2.493900335,10.69937078
478498617,Exc_3,,,,,,
478499902,Exc_3,Spiny_2,ME_Exc_15,132.5902063,370.665884,2.363309797,12.93639776
478500297,Exc_3,,,,,,
478586295,Exc_1,Spiny_12,ME_Exc_3,216.8306227,558.3341023,3.463443355,14.17282631
478586425,Exc_3,,,,,,
478588073,Exc_3,,,,,,
478716304,Inh_6,,,,,,
478793814,Inh_13,,,,,,
478795872,Inh_10,,,,,,
478888052,Exc_3,Spiny_12,ME_Exc_13,210.4578104,549.7816399,2.671986889,2.246173956
478888083,Inh_6,,,,,,
478891084,Inh_10,,,,,,
478892782,Exc_3,Spiny_4,ME_Exc_18,227.9999123,376.2902265,2.503078787,27.3306088
478949560,Inh_11,,,,,,
478958894,Inh_10,,,,,,
479010903,Exc_3,Spiny_5,ME_Exc_20,301.1250944,573.1907267,2.743994605,3.24431362
479013100,Exc_3,Spiny_7,ME_Exc_15,176.9091871,341.7614024,3.057571724,0
479015224,Exc_3,,,,,,
479091820,Exc_3,,,,,,
479107488,Inh_5,,,,,,
479150681,Exc_3,,,,,,
479179020,Exc_3,Spiny_8,ME_Exc_13,159.2479888,477.538619,2.057770716,15.30039492
479218494,Inh_1,,,,,,
479219923,Inh_3,,,,,,
479220013,Inh_1,,,,,,
479225052,Exc_4,Spiny_14,ME_Exc_1,148.7926886,605.1873597,3.327964218,29.58084241
479225080,Exc_3,Spiny_9,ME_Exc_13,124.458677,520.1242045,2.441644692,23.67976401
479225274,Inh_8,,,,,,
479225294,Exc_3,,,,,,
479298821,Exc_3,,,,,,
479298854,Inh_12,,,,,,
479303890,Exc_4,,,,,,
479415457,Exc_3,,,,,,
479492633,Exc_3,,,,,,
479492800,Exc_4,,,,,,
479508018,Exc_3,,,,,,
479679997,Inh_1,,,,,,
479682071,Exc_3,,,,,,
479683481,Exc_2,,,,,,
479704527,Exc_3,Spiny_9,ME_Exc_13,128.8882906,500.610658,2.247756739,16.04967249
479711015,Exc_3,,,,,,
479721491,Exc_3,Spiny_9,ME_Exc_13,209.5485213,484.6161545,2.92997363,5.396957162
479722622,Exc_4,,,,,,
479728896,Exc_3,Spiny_5,ME_Exc_18,184.8911246,462.247012,2.112135177,-0.284075071
479766169,Exc_2,,,,,,
479770916,Exc_4,Spiny_14,ME_Exc_1,306.1413139,588.2624517,0.830006719,0
479771670,Inh_3,,,,,,
479772774,Inh_13,,,,,,
479897420,Inh_3,,,,,,
479905853,Inh_3,Aspiny_2,ME_Inh_24,216.7408586,696.9673255,2.272301216,11.15538104
479993900,Exc_2,,,,,,
480003970,Exc_4,Spiny_14,ME_Exc_1,135.5245178,596.020865,1.953497822,-16.97027701
480008325,Exc_3,,,,,,
480011594,Inh_8,,,,,,
480087928,Exc_3,Spiny_4,ME_Exc_17,157.2505268,426.8720518,2.372867056,2.657981415
480090260,Exc_3,,,,,,
480114344,Exc_3,Spiny_9,ME_Exc_13,212.3185887,493.1930672,3.51458553,4.407644488
480116737,Exc_3,Spiny_9,ME_Exc_12,225.9391662,527.9641345,2.068095898,29.93406024
480121089,Exc_3,,,,,,
480122859,Exc_3,Spiny_12,ME_Exc_5,152.345084,590.5735799,6.398809524,15.73876572
480124551,Exc_3,Spiny_7,ME_Exc_14,210.0052281,394.4102509,3.668351663,-6.076211468
480169178,Exc_3,Spiny_8,ME_Exc_13,220.0988516,531.1774641,5.199667221,5.22979621
480169202,Exc_4,,,,,,
480169278,Exc_3,,,,,,
480171348,Inh_9,,,,,,
480171386,Exc_3,,,,,,
480183339,Inh_6,,,,,,
480187546,Inh_7,,,,,,
480266505,Exc_4,,,,,,
480268803,Exc_3,,,,,,
480273887,Exc_3,,,,,,
480351780,Exc_4,Spiny_12,ME_Exc_1,137.4499958,610.4583061,2.079866889,11.30840245
480353286,Exc_3,Spiny_12,ME_Exc_13,187.5844234,580.4673827,3.169014085,3.251270707
480364000,Exc_3,,,,,,
480640846,Inh_12,,,,,,
480643417,Exc_3,,,,,,
480647923,Exc_3,,,,,,
480648382,Exc_3,,,,,,
480705931,Exc_1,,,,,,
480714960,Inh_12,,,,,,
480718588,Exc_4,,,,,,
480735016,Inh_9,,,,,,
480778441,Exc_3,,,,,,
480792667,Exc_3,,,,,,
480798873,Exc_3,,,,,,
480952106,Inh_8,,,,,,
480963429,Inh_13,,,,,,
480999763,Inh_3,,,,,,
481001895,Inh_7,,,,,,
481003593,Inh_3,,,,,,
481003643,Inh_1,,,,,,
481004298,Inh_1,,,,,,
481018305,Inh_13,,,,,,
481049269,Inh_13,,,,,,
481093098,Inh_1,,,,,,
481093525,Inh_12,Aspiny_11,ME_Inh_9,146.8019159,682.9314514,5.052264808,-7.980725402
481099415,Inh_10,,,,,,
481099785,Inh_9,,,,,,
481127173,Inh_8,,,,,,
481127348,Inh_8,,,,,,
481127932,Inh_8,,,,,,
481136138,Inh_12,Aspiny_10,ME_Inh_10,189.7504794,607.3589152,2.995391705,3.085198792
481136214,Inh_1,,,,,,
482435718,Inh_3,,,,,,
482444444,Inh_13,,,,,,
482491330,Inh_12,,,,,,
482493761,Inh_7,,,,,,
482511164,Inh_1,,,,,,
482516216,Inh_2,,,,,,
482516713,Inh_12,Aspiny_11,ME_Inh_10,141.2940987,723.028742,3.892123315,-16.41942708
482521571,Inh_1,,,,,,
482644550,Inh_8,,,,,,
482645063,Inh_3,,,,,,
482649712,Inh_1,,,,,,
482652174,Exc_3,,,,,,
482654108,Inh_2,,,,,,
482658760,Inh_12,,,,,,
482690728,Inh_11,,,,,,
482692974,Inh_6,,,,,,
482726727,Exc_3,,,,,,
482726749,Inh_3,,,,,,
482735425,Inh_7,,,,,,
482744155,Inh_7,,,,,,
482764620,Inh_3,,,,,,
482772037,Inh_3,,,,,,
482773968,Inh_1,,,,,,
482799345,Inh_9,,,,,,
482809953,Exc_3,,,,,,
482905575,Exc_3,,,,,,
482910438,Exc_3,,,,,,
483018019,Exc_3,,,,,,
483019067,Exc_3,,,,,,
483020137,Exc_3,Spiny_7,ME_Exc_14,232.8179013,419.5176263,2.653061224,14.24629121
483024426,Exc_3,,,,,,
483027960,Exc_3,,,,,,
483057325,Exc_3,,,,,,
483061182,Exc_3,Spiny_3,ME_Exc_16,165.3790692,423.0751561,3.180256965,2.665881765
483068687,Exc_3,Spiny_8,ME_Exc_13,208.4589391,497.9224349,2.809820886,16.76556127
483083080,,,,,,,
483083617,Inh_6,,,,,,
483091861,Exc_3,,,,,,
483092310,Exc_3,Spiny_4,ME_Exc_13,158.3020744,444.2441546,2.740627055,1.318044385
483099796,Exc_3,,,,,,
483101699,Exc_3,Spiny_2,ME_Exc_17,227.0328112,361.753005,2.332910768,-16.83245193
483109334,Exc_3,,,,,,
483111429,Inh_13,,,,,,
484457747,Inh_7,,,,,,
484509440,Exc_3,,,,,,
484515166,Exc_3,,,,,,
484559000,Exc_4,,,,,,
484564503,Exc_3,Spiny_7,ME_Exc_14,153.9233708,501.8492653,1.93452381,8.709479976
484571248,Inh_6,,,,,,
484629749,Inh_13,,,,,,
484635029,Inh_12,,,,,,
484659182,Exc_3,,,,,,
484679812,Exc_3,Spiny_7,ME_Exc_14,160.7174594,456.6668989,2.71950272,12.08146988
484737013,Exc_3,,,,,,
484738748,Exc_3,,,,,,
484742372,Inh_11,,,,,,
484742605,Inh_12,,,,,,
484770879,Exc_3,,,,,,
485048967,Inh_12,,,,,,
485053941,Inh_8,,,,,,
485058595,Inh_6,,,,,,
485060618,Inh_12,,,,,,
485061364,Inh_12,,,,,,
485161419,Exc_3,Spiny_3,ME_Exc_13,184.4748732,363.8309046,1.785714286,22.16151683
485182007,Inh_12,,,,,,
485182362,Exc_1,,,,,,
485184849,Inh_12,Aspiny_8,ME_Inh_10,204.3263668,302.9256072,2.521008403,11.53046704
485245025,Inh_9,,,,,,
485253111,Inh_12,,,,,,
485287282,Inh_7,,,,,,
485287944,Exc_3,,,,,,
485288679,Exc_3,,,,,,
485339983,Exc_2,,,,,,
485455219,Inh_7,,,,,,
485455249,Inh_2,,,,,,
485455285,Inh_2,,,,,,
485466109,Inh_6,,,,,,
485468180,Exc_3,Spiny_5,ME_Exc_17,150.8229347,384.0691687,2.75616232,11.77132447
485490864,Exc_3,,,,,,
485570335,Exc_3,,,,,,
485570372,Exc_3,,,,,,
485574721,Exc_3,Spiny_9,ME_Exc_13,131.2129996,493.9347256,2.775090785,7.369814503
485574832,Exc_4,Spiny_12,ME_Exc_1,205.1629944,553.4537298,2.089008473,7.291450616
485577686,Exc_3,,,,,,
485578197,Exc_2,,,,,,
485579168,Exc_1,,,,,,
