,index,El_reference,C,init_threshold,spike_cut_length,R_input
290,480169178,-0.07340143,1.15167e-10,0.028705634,105.0,183632350.0
291,480351780,-0.06432149,1.4949326e-10,0.023163294,72.0,238159730.0
292,480353286,-0.07520017,1.3093963e-10,0.031875107,103.0,238146100.0
293,483020137,-0.07911742,6.1177216e-11,0.03076623,82.0,294123360.0
294,483061182,-0.07293791,9.4007684e-11,0.031354334,93.0,180872660.0
295,483068687,-0.07354067,1.01715386e-10,0.028793586,103.0,185503740.0
296,483092310,-0.07302868,1.0589989e-10,0.027406987,82.0,182191150.0
297,483101699,-0.074114375,8.706636e-11,0.033492304,62.0,218657330.0
298,484564503,-0.06992255,1.3518736e-10,0.022974078,74.0,223405400.0
299,484679812,-0.07051271,8.82388e-11,0.026541278,78.0,260186510.0
300,485161419,-0.07922761,7.956841e-11,0.029913276,69.0,228735630.0
301,485468180,-0.06839073,1.0287121e-10,0.021129237,62.0,271547400.0
302,485574721,-0.07654607,1.5643589e-10,0.02469131,209.0,245394700.0
303,485574832,-0.07084271,1.5753147e-10,0.020399965,93.0,122221970.0
304,485835016,-0.07288675,1.2373351e-10,0.025374474,93.0,157809280.0
305,485835055,-0.06970896,1.13395356e-10,0.026090862,63.0,227528140.0
306,485836906,-0.0812972,1.03202745e-10,0.030840434,60.0,179394260.0
307,485837504,-0.070457734,1.2209875e-10,0.027635701,117.0,173686260.0
308,485838981,-0.072072186,1.3533132e-10,0.026632892,93.0,209571950.0
309,485880739,-0.07103828,1.7444929e-10,0.025425425,91.0,132974696.0
310,485909730,-0.074821115,1.147202e-10,0.03141673,139.0,212645390.0
311,485911892,-0.07717567,7.403602e-11,0.03567695,66.0,273567580.0
312,485912047,-0.07337554,1.0748473e-10,0.02518986,81.0,198315070.0
313,485931158,-0.08545923,1.2369504e-10,0.045516368,108.0,167045500.0
314,486025194,-0.07272268,1.2580746e-10,0.028202299,83.0,259414460.0
315,486052980,-0.06893961,1.904252e-10,0.021538043,94.0,159497500.0
316,486110216,-0.063947394,1.05312745e-10,0.024066828,72.0,105197650.0
317,486111903,-0.06952882,1.538623e-10,0.02546899,83.0,118861290.0
318,486132712,-0.070178576,1.2913083e-10,0.020833831,103.0,305105760.0
319,486146717,-0.07811862,1.07502555e-10,0.03640545,123.0,251473900.0
320,486239338,-0.076355375,8.89889e-11,0.030529445,105.0,219053040.0
321,486262299,-0.07897843,1.7979715e-10,0.036305178,86.0,87704520.0
322,486502127,-0.069468096,6.847461e-11,0.026839208,59.0,202365800.0
323,486560376,-0.08039093,9.590681e-11,0.02970299,79.0,188696910.0
324,486893033,-0.07319491,1.0434739e-10,0.030489057,128.0,310730240.0
325,487601493,-0.07283588,1.2918823e-10,0.02866371,124.0,185417780.0
326,487661754,-0.08204051,1.1004813e-10,0.0397719,48.0,383533800.0
327,487664663,-0.06978977,1.0136677e-10,0.027536955,81.0,280726750.0
328,488117124,-0.08013264,1.3429173e-10,0.032920044,93.0,292198750.0
329,488420599,-0.0773495,1.07532094e-10,0.028769866,91.0,224737150.0
330,488679042,-0.070744865,1.3003965e-10,0.0270275,76.0,206126190.0
331,488680211,-0.08558911,8.5205024e-11,0.04581198,92.0,144398830.0
332,488680917,-0.06964235,1.1798831e-10,0.027249409,67.0,198765340.0
333,488683425,-0.06848055,1.3863762e-10,0.02078997,75.0,252051550.0
334,488687894,-0.070521295,9.2488295e-11,0.028692322,74.0,163978060.0
335,488695444,-0.076193556,1.5342976e-10,0.030297996,112.0,151720020.0
336,488697163,-0.07339335,9.4807e-11,0.028444508,82.0,263725900.0
337,488698341,-0.071139164,1.2614675e-10,0.0281085,77.0,135866620.0
338,490205998,-0.07702525,1.334565e-10,0.028912347,87.0,120676670.0
